target_id,prompt_id,layer_band,layer,kv,local_group,manifest_z,amd_reconstructed_z,abs_z_error,raw_scale,fp32_clean_word,binary32z_clean_word,ha_fbms_clean_word
0,0,EARLY,0,K,152,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,1058986862,2937658881,2918195199
1,0,MID,21,V,246,-2.5979015564286545,-2.5979015564286545,0.0,0.16517857142857142,1042883730,2482037367,2395998207
2,0,LATE,44,K,69,-0.6678035696588106,-0.6576078025529222,0.010195767105888431,0.6339285714285714,1059211557,2945009491,3064995839
3,1,EARLY,5,V,46,-4.127874822552158,-4.127874822552158,0.0,0.05719866071428571,1030375717,2116971526,3684172287
4,1,MID,21,K,114,-0.7305393250067733,-0.7305393250067733,0.0,0.6026785714285714,1058687269,2927607351,2717392895
5,1,LATE,43,V,221,-0.7739319205201538,-0.7629608026991507,0.010971117821003129,0.5892857142857143,1058462574,2919871286,2562727935
6,2,EARLY,0,K,65,-0.6988304652794349,-0.6988304652794349,0.0,0.6160714285714286,1058911963,2935173380,2868387839
7,2,MID,22,V,389,-2.698830465279435,-2.6884138493340966,0.010416615945338492,0.15513392857142858,1042209646,2460440293,1963984895
8,2,LATE,44,K,334,-0.6884138493340967,-0.6780719051126377,0.010341944221458954,0.625,1059061760,2940126565,2967478271
9,3,EARLY,3,V,553,-4.134929580086109,-4.134929580086109,0.0,0.056919642857142856,1030300818,2115288196,3650617855
10,3,MID,21,K,345,-0.7305393250067733,-0.7412657315998317,0.010726406593058346,0.5982142857142857,1058612370,2925047931,2666012671
11,3,LATE,43,V,368,-0.7412657315998317,-0.7412657315998317,0.0,0.5982142857142857,1058612370,2925047931,2666012671
12,4,EARLY,0,K,178,-0.6576078025529222,-0.6576078025529222,0.0,0.6339285714285714,1059211557,2945009491,3064995839
13,4,MID,21,V,8,-2.6076825772212398,-2.6076825772212398,0.0,0.1640625,1042808832,2479703525,2349336575
14,4,LATE,43,K,425,-0.6576078025529222,-0.6576078025529222,0.0,0.6339285714285714,1059211557,2945009491,3064995839
15,5,EARLY,7,V,421,-4.072645301831766,-4.072645301831766,0.0,0.05943080357142857,1030974903,2130149803,3947889151
16,5,MID,21,K,103,-0.7305393250067733,-0.7305393250067733,0.0,0.6026785714285714,1058687269,2927607351,2717392895
17,5,LATE,47,V,97,-0.7305393250067733,-0.7305393250067733,0.0,0.6026785714285714,1058687269,2927607351,2717392895
18,6,EARLY,0,K,200,-0.6988304652794349,-0.6988304652794349,0.0,0.6160714285714286,1058911963,2935173380,2868387839
19,6,MID,21,V,71,-2.5979015564286545,-2.5979015564286545,0.0,0.16517857142857142,1042883730,2482037367,2395998207
20,6,LATE,43,K,469,-0.6780719051126377,-0.6678035696588106,0.010268335453827104,0.6294642857142857,1059136658,2942576686,3016761343
21,7,EARLY,0,V,370,-4.170730301513955,-4.170730301513955,0.0,0.05552455357142857,1029926327,2106745811,3479699967
22,7,MID,21,K,239,-0.7520724865564145,-0.7520724865564145,0.0,0.59375,1058537472,2922469339,2614632447
23,7,LATE,45,V,110,-0.8358113681068322,-0.8358113681068322,0.0,0.5602678571428571,1057975735,2902488464,2215124991
