representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,fp32_median_ms,identity_median_ms,mapped_median_ms,codec_median_percent,codec_ci95_low,codec_ci95_high,mapping_median_percent,mapping_ci95_low,mapping_ci95_high,mapped_vs_fp32_median_percent,mapped_vs_fp32_ci95_low,mapped_vs_fp32_ci95_high
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,0.09709903717041016,0.09789663791656494,0.11344128131866454,0.8245868373338405,0.7300740783767745,0.8565589217335967,15.878628452335564,15.824042875034339,15.949590035360671,16.788139395370383,16.749005392962935,16.867946902288743
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,0.37861583709716795,0.3815774345397949,0.44209663391113285,0.7699654283139568,0.759831711458836,0.8067886102434141,15.868001043304126,15.82409693744622,15.92802533264237,16.78304469531515,16.703418696791793,16.84969403817991
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,0.09723376274108886,0.09808015823364258,0.10907392024993896,0.8430133915060534,0.765956229981346,0.9161015525669614,11.219611892901149,11.187272661433934,11.298102292065293,12.158350228742677,12.129943224098728,12.210560485273469
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,4194304,134217728,0.37850816726684566,0.3813742446899414,0.426014404296875,0.7581592447857055,0.7426405874327857,0.7806782572288951,11.71116753112258,11.685902547446192,11.72176960522271,12.550879314296704,12.53887315400708,12.55801148490201
REP_0026,MiniCPM3-4B,AMD_ROCm,22,10,-5.75,-3.0,1048576,33554432,0.09697648048400878,0.09784656047821044,0.10785840034484863,0.8862244277877629,0.8458281971406301,0.9823462996096266,10.226960759300518,10.210383032605241,10.29734976301877,11.273092972510025,11.191104970735477,11.32820678324229
REP_0026,MiniCPM3-4B,AMD_ROCm,22,10,-5.75,-3.0,4194304,134217728,0.3784424018859863,0.38130624771118166,0.41976144790649417,0.7670121449845135,0.7517338223209657,0.7795267248809745,10.077164519678327,10.034440511359799,10.150832864031534,10.920462148155362,10.872688930736185,10.995703129900258
REP_0027,MiniCPM3-4B,AMD_ROCm,26,6,-5.75,-3.0,1048576,33554432,0.09733920097351073,0.09799487590789795,0.09875871658325196,0.6353031934316578,0.6196993498218673,0.7488658090399003,0.7945306357067583,0.7161876823633895,0.8269229505295517,1.4681603975792212,1.4417596670561084,1.5194084367313732
REP_0027,MiniCPM3-4B,AMD_ROCm,26,6,-5.75,-3.0,4194304,134217728,0.37834463119506834,0.3813636779785156,0.3845772933959961,0.7838187356491222,0.7778592124072725,0.8147945119280076,0.8403479864087293,0.822332234186196,0.8785526252017117,1.6401630788414279,1.618926411395738,1.6632457401399625
