representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,block,order,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,1,F-I-M-M-I-F,0.09718848228454591,0.09802095890045166,0.11353183746337892,0.8565589217335967,15.824042875034339,16.816144047792992
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,2,M-I-F-F-I-M,0.09735375881195069,0.09821599960327149,0.11385727882385255,0.8856779664628167,15.925388209417623,16.952113830324933
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,3,F-I-M-M-I-F,0.09719215869903565,0.09791088104248047,0.11347087860107422,0.7394859349409089,15.892000350648217,16.749005392962935
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,4,M-I-F-F-I-M,0.09704656124114991,0.09787375926971435,0.11341632366180421,0.8523723231253388,15.880216013015946,16.867946902288743
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,5,F-I-M-M-I-F,0.0970737600326538,0.09782400131225585,0.11425568103790283,0.7728569279171538,16.7971862786483,17.699861424415154
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,6,M-I-F-F-I-M,0.09703999996185303,0.10075344085693361,0.11393104076385498,3.8267115586771983,13.07905694817222,17.406266290851114
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,7,F-I-M-M-I-F,0.09711279869079589,0.09802080154418945,0.11340847969055176,0.9349981316928213,15.698380245773947,16.780157939470786
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,8,M-I-F-F-I-M,0.09707760334014892,0.09789663791656494,0.11344128131866454,0.8436905611958867,15.878628452335564,16.856285503031177
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,9,F-I-M-M-I-F,0.0970956802368164,0.09789631843566894,0.11337311744689942,0.8245868373338405,15.809377981257612,16.76432686848923
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,10,M-I-F-F-I-M,0.09707648277282716,0.09777807712554931,0.1133732795715332,0.7227232926886984,15.949590035360671,16.78758473032329
