representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,block,order,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,1,F-I-M-M-I-F,0.2100108814239502,0.20959904670715332,0.20965295791625976,-0.19610160864259596,0.025721113694654463,-0.1704309344656707
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,2,M-I-F-F-I-M,0.21023183822631836,0.20943039894104004,0.20982303619384768,-0.3812168946625283,0.18747863480801374,-0.19445296008427926
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,3,F-I-M-M-I-F,0.21026192665100096,0.2096780776977539,0.20969727516174316,-0.277676972976737,0.009155684847961254,-0.26854671135732033
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,4,M-I-F-F-I-M,0.20983135223388671,0.20989744186401368,0.2100060844421387,0.03149654683314296,0.051759839071974234,0.08327268846708424
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,5,F-I-M-M-I-F,0.2100369644165039,0.20951583862304687,0.21001904487609863,-0.2481114669052431,0.24017575776555944,-0.008531612735440675
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,6,M-I-F-F-I-M,0.21028079986572268,0.2096384048461914,0.20940448760986327,-0.3054939014600966,-0.11158128993575822,-0.4167343173599236
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,7,F-I-M-M-I-F,0.21018383979797362,0.20979199409484864,0.20988112449645996,-0.1864299860073082,0.04248513009081911,-0.14402406093856346
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,8,M-I-F-F-I-M,0.20997456550598143,0.20958911895751953,0.210064640045166,-0.18356820862235335,0.2268825261596108,0.042897833348298775
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,9,F-I-M-M-I-F,0.20988256454467774,0.20977391242980958,0.2096425628662109,-0.05176805186456468,-0.06261482282389208,-0.11435046021449624
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,10,M-I-F-F-I-M,0.20987648010253906,0.2094475269317627,0.2098540782928467,-0.2043836310609004,0.19410654641744962,-0.01067380665114026
