protocol,prompt_id,target_id,layer_band,layer,kv,local_group,global_group_index,encoding,fault_bit,mode,step,position,clean_input_token_id,fault_input_token_id,baseline_token_id,fault_token_id,token_same,kl,max_logit_diff,mean_logit_diff,baseline_logits_finite,fault_logits_finite,post_first_divergence,free_running_kl_path_dependent,manifest_z,amd_reconstructed_z,abs_z_error,raw_scale,clean_scale,fault_scale,scale_amplification,clean_word,fault_word,clean_equal_raw,clean_source,local_write_changed,cache_readback_pass
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,14,30,323,323,4650,4650,True,0.0015389102045446634,0.203125,0.04191533476114273,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,15,31,4650,4650,65760,65760,True,0.0010730056092143059,0.25,0.028855115175247192,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,16,32,65760,65760,14830,14830,True,-2.210115113143729e-08,0.125,0.01566174253821373,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,17,33,14830,14830,13,13,True,0.0016953108133748174,0.25,0.05013401806354523,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,18,34,13,13,33589,33589,True,0.002059714635834098,0.15625,0.02446194738149643,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,19,35,33589,33589,21252,21252,True,8.757173782214522e-05,0.25,0.06908224523067474,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,20,36,21252,21252,646,646,True,0.0006413565715774894,0.25,0.032819364219903946,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,21,37,646,646,387,387,True,0.0007778851431794465,0.220703125,0.07030774652957916,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,22,38,387,387,803,803,True,6.830789061496034e-05,0.203125,0.04202767834067345,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
P8_FORMAL_SHORT_HORIZON_V1,0,0,EARLY,0,K,152,152,BINARY32_Z,31,TEACHER_FORCED,23,39,803,803,33346,33346,True,5.46719775229576e-07,0.1875,0.03257196024060249,True,True,False,False,-0.6884138493340967,-0.6884138493340967,0.0,0.6205357142857143,0.6205357134159488,0.001211983813505151,512.0000007436663,2937658881,790175233,True,FULL_RAW_INT4,True,True
