representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,fp32_median_ms,identity_median_ms,mapped_median_ms,codec_median_percent,codec_ci95_low,codec_ci95_high,mapping_median_percent,mapping_ci95_low,mapping_ci95_high,mapped_vs_fp32_median_percent,mapped_vs_fp32_ci95_low,mapped_vs_fp32_ci95_high,representation_source_platform,execution_platform,execution_gpu
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,0.2100108814239502,0.2096384048461914,0.20982303619384768,-0.1864299860073082,-0.2481114669052431,-0.11856886539202138,0.04248513009081911,-0.01473469586431575,0.11211610469938904,-0.11435046021449624,-0.1704309344656707,-0.01067380665114026,H800_CUDA,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,4194304,134217728,0.8401953506469726,0.8407777404785156,0.8407577514648437,0.07409931096038491,0.046219748935971694,0.09028644103732386,-0.003746527545012146,-0.03641148571018604,0.06980332617840812,0.07246856419547143,0.020975323967986625,0.128994556797557,H800_CUDA,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,1048576,33554432,0.20951200485229493,0.2094764804840088,0.21006704330444337,-0.041762433869330096,-0.08841365513525545,0.028110158676231123,0.2554306708583809,0.21363847411284276,0.3301160698549799,0.25565530486124644,0.12231564754707769,0.34754543758761525,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0025,MiniCPM3-4B,AMD_ROCm,19,13,-5.75,-3.0,4194304,134217728,0.8401209640502929,0.8404275131225586,0.8417363357543945,0.049248416562552855,0.014776401718763488,0.06663861451619013,0.15460344764690603,0.11491688936986488,0.18515534173182413,0.16855494236021062,0.1495843670764163,0.23973676518860287,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0026,MiniCPM3-4B,AMD_ROCm,22,10,-5.75,-3.0,1048576,33554432,0.20971856117248533,0.20985215187072753,0.2090673637390137,0.03618293019305163,-0.030248533945320677,0.10239613318727692,-0.3960875871449554,-0.49999931771134154,-0.3239514195085613,-0.40429146296706575,-0.4312027169809274,-0.28917868659620316,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0026,MiniCPM3-4B,AMD_ROCm,22,10,-5.75,-3.0,4194304,134217728,0.8408599853515625,0.8410343933105469,0.8400737762451171,0.01665334096876414,-0.01598132597477875,0.05770446231052606,-0.1028882383033114,-0.11720248726747595,-0.06694724031318655,-0.08911400180269258,-0.10503686698790649,-0.06679467883727863,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0027,MiniCPM3-4B,AMD_ROCm,26,6,-5.75,-3.0,1048576,33554432,0.20949039459228516,0.20874080657958985,0.20918863296508788,-0.35961006133545803,-0.4116697656746049,-0.22746673841871345,0.2226496268857625,0.15831400178434318,0.27916015610167655,-0.18488428861967998,-0.2479678410808539,-0.09386497537632321,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
REP_0027,MiniCPM3-4B,AMD_ROCm,26,6,-5.75,-3.0,4194304,134217728,0.8403364562988281,0.8405665588378906,0.8402573013305664,0.03899873052093383,0.004797529721556337,0.07200066523638249,-0.0335013270736928,-0.053550393834600474,-0.021914005954726257,-0.013039226733901899,-0.01684932738638123,0.01045080040553703,AMD_ROCm,RTX5080_LINUX_H800_LIKE,NVIDIA GeForce RTX 5080
