rep,bc,bf,zmin,zmax,groups,values,fp32_median_ms,identity_median_ms,mapped_median_ms,codec_median_percent,codec_ci_low_percent,codec_ci_high_percent,mapping_median_percent,mapping_ci_low_percent,mapping_ci_high_percent,total_median_percent,total_ci_low_percent,total_ci_high_percent,identity_vs_fp32_correctness,mapped_vs_identity_exact,identity_max_abs_error,identity_max_rel_error,mapping_max_abs_error,mapping_max_rel_error
REP_0008,14,18,-5.0,-0.5,1048576,33554432,0.1656914043426514,0.24314126014709472,0.5385098838806153,46.804936087555625,46.71126863981379,46.85156446145309,121.50530853680141,121.47599674653415,121.55796408650738,225.17372063776753,224.96094626552602,225.45319598045722,True,True,1.430511474609375e-06,5.293534286465729e-07,0.0,0.0
REP_0008,14,18,-5.0,-0.5,4194304,134217728,0.8302924346923828,1.0446935272216797,2.200711212158203,25.817566787451774,25.804095868102618,25.843160729495217,110.6509577742854,110.62394111096268,110.66141599336548,165.06720312877817,165.00250617537415,165.07568041756588,True,True,1.430511474609375e-06,4.949309868607088e-07,0.0,0.0
REP_0025,19,13,-5.75,-3.0,1048576,33554432,0.165650110244751,0.24302671432495115,0.5382355499267578,46.713990596020594,46.60191956610902,46.83012529683186,121.4743377185234,121.37757630634893,121.53511058736419,225.04622202746575,224.70370422592353,225.16127932033098,True,True,1.7881393432617188e-07,5.257746806819341e-07,0.0,0.0
REP_0025,19,13,-5.75,-3.0,4194304,134217728,0.8390695190429687,1.054139404296875,2.202829818725586,25.643121038544624,25.620911895025934,25.660074081539165,108.96866412609971,108.95289042443936,109.01359777181554,162.5547516005853,162.51509530814886,162.58866674582464,True,True,1.7881393432617188e-07,5.332853447725938e-07,0.0,0.0
REP_0026,22,10,-5.75,-3.0,1048576,33554432,0.16556973457336427,0.24306796073913572,0.5218116760253906,46.798477521728344,46.736829317582405,46.89023594401376,114.67670799488134,114.64958416048567,114.72941779490608,215.1578400495275,215.0401643245156,215.35365671299917,True,True,1.7881393432617188e-07,5.251180823506729e-07,0.0,0.0
REP_0026,22,10,-5.75,-3.0,4194304,134217728,0.8496859741210937,1.0525553131103516,2.1835594177246094,23.873416451510355,23.861613120329995,23.88126873429497,107.4287220852534,107.39730173252386,107.44951687110836,156.96300501277918,156.94021892090356,157.01219483452525,True,True,1.7881393432617188e-07,5.217574425842031e-07,0.0,0.0
REP_0027,26,6,-5.75,-3.0,1048576,33554432,0.16566155433654783,0.24056355476379393,0.5138990402221679,45.16657118826388,45.13056933842144,45.294560418716955,113.63578856519555,113.58723523655327,113.67999935886148,210.19088102250248,209.98294269996208,210.46182271758082,True,True,1.7881393432617188e-07,4.4741562987837824e-07,0.0,0.0
REP_0027,26,6,-5.75,-3.0,4194304,134217728,0.8308322906494141,1.0343091583251953,2.1185121154785156,24.49475246316466,24.468228585038165,24.514881552786647,104.83012440330239,104.75562697693088,104.8422356962114,154.97386259836165,154.85095572634603,155.0740085346401,True,True,1.7881393432617188e-07,4.4741562987837824e-07,0.0,0.0
