rep,bc,bf,groups,values,block,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,14,18,1048576,33554432,1,0.16586198806762695,0.24317381858825682,0.5387738800048828,46.61214508601421,121.55916419486653,224.8326432607382
REP_0008,14,18,1048576,33554432,2,0.16555839538574219,0.2430810737609863,0.5383523941040039,46.82497567980195,121.4703044439191,225.17372063776753
REP_0008,14,18,1048576,33554432,3,0.1666586685180664,0.2431148338317871,0.5384835243225098,45.875900721859296,121.49348759816539,223.10562007408348
REP_0008,14,18,1048576,33554432,4,0.16553865432739256,0.24309610366821288,0.5387966728210449,46.85156446145309,121.63937006428363,225.48088240191
REP_0008,14,18,1048576,33554432,5,0.16570490837097168,0.24311100006103514,0.5384762382507324,46.71321595179949,121.49398345428355,224.96094626552602
REP_0008,14,18,1048576,33554432,6,0.1654632568359375,0.24304235458374024,0.5384401512145995,46.88599706744869,121.54169471275429,225.4137271989524
REP_0008,14,18,1048576,33554432,7,0.16569533348083498,0.24296806335449217,0.5382056427001953,46.6354291640898,121.51291625309182,224.81641540161203
REP_0008,14,18,1048576,33554432,8,0.16550930976867675,0.2431794261932373,0.5386553382873536,46.92794413384709,121.50530853680141,225.45319598045722
REP_0008,14,18,1048576,33554432,9,0.1656914043426514,0.24324316024780274,0.5385634040832519,46.804936087555625,121.40947500213085,225.04003826867063
REP_0008,14,18,1048576,33554432,10,0.1654791259765625,0.24314126014709472,0.5386988258361817,46.931680181542546,121.55796408650738,225.53883920832396
REP_0008,14,18,1048576,33554432,11,0.1657281494140625,0.2431418704986572,0.5385008811950683,46.71126863981379,121.47599674653415,224.93024455951297
REP_0008,14,18,1048576,33554432,12,0.1655470561981201,0.24342619895935058,0.5385098838806153,47.04350808148943,121.22100504495835,225.29112643123543
REP_0008,14,18,1048576,33554432,13,0.1657230281829834,0.24331199645996093,0.5401726722717285,46.818459165076035,122.00823639233036,225.94907189077898
REP_0008,14,18,1048576,33554432,14,0.16567691802978515,0.2431335735321045,0.5388164901733399,46.751627458686976,121.61336352924211,225.22121764509905
REP_0008,14,18,1048576,33554432,15,0.16569675445556642,0.24318108558654786,0.5384869194030761,46.762733154052086,121.43454048009391,224.98338375570168
REP_0008,14,18,4194304,134217728,1,0.8301621627807617,1.0446677017211914,2.200711212158203,25.83899249538293,110.66136231955079,165.09413591997094
REP_0008,14,18,4194304,134217728,2,0.8302540969848633,1.0447103881835937,2.2008016967773436,25.830199691581935,110.66141599336548,165.07568041756588
REP_0008,14,18,4194304,134217728,3,0.8304763793945313,1.0451725006103516,2.2008063507080076,25.85216467834366,110.56871946236609,165.00529157885643
REP_0008,14,18,4194304,134217728,4,0.8301871871948242,1.0444094848632812,2.2008048248291017,25.804095868102618,110.72240885644567,165.0974212533381
REP_0008,14,18,4194304,134217728,5,0.8302391815185547,1.0447035217285157,2.2007244873046874,25.83163321895907,110.65541003092206,165.07114290600416
REP_0008,14,18,4194304,134217728,6,0.8301291656494141,1.0443941116333009,2.200400161743164,25.81103698678824,110.6867644343585,165.06720312877817
REP_0008,14,18,4194304,134217728,7,0.8301637268066406,1.0443601608276367,2.199954681396484,25.801709603108947,110.6509577742854,165.00250617537415
REP_0008,14,18,4194304,134217728,8,0.8301271057128906,1.0446675491333008,2.200444107055664,25.84428841606958,110.63582465840378,165.07315469068828
REP_0008,14,18,4194304,134217728,9,0.8303396987915039,1.0446935272216797,2.2003746795654298,25.815196929901262,110.62394111096268,164.99692629027703
REP_0008,14,18,4194304,134217728,10,0.8309074783325194,1.0450790786743163,2.2005010223388672,25.775625557204073,110.55832685218468,164.8310527611177
REP_0008,14,18,4194304,134217728,11,0.8306392288208008,1.0446881866455078,2.201820526123047,25.7691847914018,110.76341766561843,165.07543223654565
REP_0008,14,18,4194304,134217728,12,0.8302924346923828,1.04488224029541,2.200740966796875,25.84508742182281,110.62095630744757,165.05612659378662
