representation_id,Bc,Bf,threads,groups,identity_median_ms,lut8_median_ms,lut8_mapping_over_identity_median_percent,lut8_mapping_ci95_low,lut8_mapping_ci95_high,absolute_mapping_overhead_under_5_percent,absolute_mapping_overhead_under_8_percent
REP_0008,14,18,1,4194304,120.10355,125.9666,4.830419528495322,4.1006000817387145,5.247608428558248,True,True
REP_0008,14,18,4,4194304,50.8506,52.40515,3.3575068832490507,1.9982027883124642,7.24915881511039,True,True
REP_0008,14,18,8,4194304,17.93925,19.1646,4.411366814906259,0.8638519132435407,9.706823563177135,True,True
REP_0025,19,13,1,4194304,120.15129999999999,125.97895,4.850259630981935,4.566409492773338,5.198025038358933,True,True
REP_0025,19,13,4,4194304,30.03785,31.5657,5.0864159718488455,3.892670909326168,5.403238790350717,False,True
REP_0025,19,13,8,4194304,16.89505,17.6645,3.4519953911652967,1.054975900282762,7.5122571529494975,True,True
REP_0026,22,10,1,4194304,119.27985000000001,124.8771,4.876004241057985,4.035218034479016,5.548910047585953,True,True
REP_0026,22,10,4,4194304,30.0335,31.4525,4.594272076372308,4.311540120078283,5.947422098227451,True,True
REP_0026,22,10,8,4194304,17.1306,17.6435,3.779785880237707,1.2488336832283675,10.446881368785267,True,True
REP_0027,26,6,1,4194304,119.93525,125.2465,4.328198522235249,3.816267527686823,5.150018218117025,True,True
REP_0027,26,6,4,4194304,30.39465,31.52235,4.006507400283743,2.1900235732275286,5.788416515909334,True,True
REP_0027,26,6,8,4194304,16.795050000000003,17.886499999999998,5.276852405917198,0.7659521346791598,10.29020360393944,False,True
