representation_id,Bc,Bf,threads,groups,block,kernel,ms
REP_0008,14,18,1,4194304,1,ID_FULL,120.2105
REP_0008,14,18,1,4194304,1,MAP_LUT8,124.23650000000001
REP_0008,14,18,1,4194304,2,ID_FULL,119.68594999999999
REP_0008,14,18,1,4194304,2,MAP_LUT8,125.9666
REP_0008,14,18,1,4194304,3,ID_FULL,119.36945
REP_0008,14,18,1,4194304,3,MAP_LUT8,125.194
REP_0008,14,18,1,4194304,4,ID_FULL,120.10355
REP_0008,14,18,1,4194304,4,MAP_LUT8,124.77315
REP_0008,14,18,1,4194304,5,ID_FULL,119.00305
REP_0008,14,18,1,4194304,5,MAP_LUT8,124.43385000000001
REP_0008,14,18,1,4194304,6,ID_FULL,119.52584999999999
REP_0008,14,18,1,4194304,6,MAP_LUT8,125.29945000000001
REP_0008,14,18,1,4194304,7,ID_FULL,119.58005
REP_0008,14,18,1,4194304,7,MAP_LUT8,126.78919999999999
REP_0008,14,18,1,4194304,8,ID_FULL,120.3836
REP_0008,14,18,1,4194304,8,MAP_LUT8,125.32005000000001
REP_0008,14,18,1,4194304,9,ID_FULL,121.22059999999999
REP_0008,14,18,1,4194304,9,MAP_LUT8,126.60679999999999
REP_0008,14,18,1,4194304,10,ID_FULL,119.92665
REP_0008,14,18,1,4194304,10,MAP_LUT8,126.32885
REP_0008,14,18,1,4194304,11,ID_FULL,120.9983
REP_0008,14,18,1,4194304,11,MAP_LUT8,127.12869999999999
REP_0008,14,18,1,4194304,12,ID_FULL,119.67885
REP_0008,14,18,1,4194304,12,MAP_LUT8,124.5772
REP_0008,14,18,1,4194304,13,ID_FULL,122.00385
REP_0008,14,18,1,4194304,13,MAP_LUT8,126.8124
REP_0008,14,18,1,4194304,14,ID_FULL,156.16470000000001
REP_0008,14,18,1,4194304,14,MAP_LUT8,169.27465000000001
REP_0008,14,18,1,4194304,15,ID_FULL,208.54169999999999
REP_0008,14,18,1,4194304,15,MAP_LUT8,221.56875000000002
REP_0008,14,18,4,4194304,1,ID_FULL,51.827449999999999
REP_0008,14,18,4,4194304,1,MAP_LUT8,52.918950000000002
REP_0008,14,18,4,4194304,2,ID_FULL,50.620199999999997
REP_0008,14,18,4,4194304,2,MAP_LUT8,53.295500000000004
REP_0008,14,18,4,4194304,3,ID_FULL,50.863749999999996
REP_0008,14,18,4,4194304,3,MAP_LUT8,54.700600000000001
REP_0008,14,18,4,4194304,4,ID_FULL,50.263249999999999
REP_0008,14,18,4,4194304,4,MAP_LUT8,53.924599999999998
REP_0008,14,18,4,4194304,5,ID_FULL,51.586449999999999
REP_0008,14,18,4,4194304,5,MAP_LUT8,52.178650000000005
REP_0008,14,18,4,4194304,6,ID_FULL,50.271349999999998
REP_0008,14,18,4,4194304,6,MAP_LUT8,53.915599999999998
REP_0008,14,18,4,4194304,7,ID_FULL,50.111000000000004
REP_0008,14,18,4,4194304,7,MAP_LUT8,53.915400000000005
