block,identity_ms,noop_ms,real_mapped_ms,prepermuted_ms,noop_vs_identity_percent,real_vs_identity_percent,pre_vs_identity_percent,real_vs_prepermuted_percent
1,1.0249097442626953,1.0246266174316405,1.3330413055419923,1.0237527465820313,-0.027624562322658974,30.064263024541948,-0.11288776276552337,30.21125559785527
2,1.024525032043457,1.0248008346557618,1.3333740234375,1.023976173400879,0.026920046233991357,30.14557787602623,-0.05357200901994208,30.215336848027817
3,1.0244658279418946,1.024483184814453,1.332982635498047,1.0236193084716798,0.0016942363605609856,30.11489491806172,-0.08263032764258549,30.222498194984592
4,1.0247782516479491,1.0245605087280274,1.3327853393554687,1.0237108993530275,-0.021247808447488747,30.055974276602026,-0.10415446397357142,30.191574613279236
5,1.024287796020508,1.0244189834594728,1.3324382019042968,1.0236214447021483,0.01280767372944247,30.08435784171144,-0.06505508714917951,30.169039423749823
6,1.0255250549316406,1.0243933105468752,1.3324549102783203,1.0235378265380861,-0.1103575558025538,29.929045016568523,-0.1937766789800066,30.181306028042453
7,1.0243344116210937,1.0244559478759765,1.3324847412109375,1.02357177734375,0.011864900124791689,30.082981309020983,-0.074451689672006,30.179902446005414
8,1.0247537612915039,1.02458797454834,1.3322945404052735,1.0235365295410155,-0.016178202942629394,30.011188124469435,-0.1187828526683643,30.16580277820806
9,1.0243310546875,1.0243877029418944,1.332864456176758,1.023823471069336,0.00553026818186364,30.12047717164883,-0.04955269254419692,30.184987338163193
10,1.024614028930664,1.0245565795898437,1.3329011535644533,1.023612937927246,-0.005606925066237167,30.08812254459685,-0.09770420618413489,30.215348417097676
11,1.024374885559082,1.024708938598633,1.3321434783935548,1.0237091445922852,0.03261042849256324,30.044527367195208,-0.06498997351280789,30.129098233669716
12,1.0248213577270509,1.0246618270874022,1.3325617980957032,1.0238192749023438,-0.01556667788447097,30.028691151713428,-0.09778121983421428,30.155959236341644
13,1.024529685974121,1.0245263290405275,1.3324431610107421,1.0239046478271485,-0.0003276560591181088,30.05412915330583,-0.06100732419268562,30.133520131816006
14,1.0244707870483398,1.0243401718139649,1.3325716400146486,1.0236676406860352,-0.012749532346478798,30.074147243768202,-0.0783962190487264,30.176200463032508
15,1.0243322372436525,1.024479293823242,1.3327747344970704,1.0237752532958986,0.01435633618105392,30.11156791114935,-0.054375321551214384,30.182354985275527
