representation_id,model,platform,Bc,Bf,zmin,zmax,groups,values,block,order,fp32_ms,identity_ms,mapped_ms,codec_percent,mapping_percent,total_percent
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,1,F-I-M-M-I-F,0.6040777587890624,0.6038558387756348,0.6079999923706054,-0.03673699456714363,0.6862819449379387,0.6492928310099622
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,2,M-I-F-F-I-M,0.6035495948791504,0.6036531066894532,0.6191966438293457,0.017150506135865662,2.5749121420307386,2.592504258631534
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,3,F-I-M-M-I-F,0.6141775894165039,0.602939510345459,0.6036102294921875,-1.8297768047384477,0.11124153173245332,-1.7205707447508711
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,4,M-I-F-F-I-M,0.6077644729614258,0.6036940765380859,0.6142363166809082,-0.6697325369326435,1.7462884849354987,1.064860485830521
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,5,F-I-M-M-I-F,0.6147379112243652,0.603620491027832,0.6030286407470704,-1.8084813045596504,-0.09805006449562503,-1.9047581519697654
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,6,M-I-F-F-I-M,0.6035897445678711,0.6033078384399414,0.6178201675415039,-0.04670492341308785,2.4054600614984656,2.3576316698059374
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,7,F-I-M-M-I-F,0.6157065582275391,0.6037980651855469,0.6071951866149903,-1.9341182715795102,0.5626254248428886,-1.382374687879051
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,8,M-I-F-F-I-M,0.6036265563964844,0.6033612823486327,0.6142361640930176,-0.04394671590252086,1.802383093269344,1.757644289189364
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,9,F-I-M-M-I-F,0.6193027114868164,0.6036609458923339,0.603407039642334,-2.525705976150161,-0.04206106950062072,-2.56670470670477
REP_0008,GPT-OSS-20B,H800_CUDA,14,18,-5.0,-0.5,1048576,33554432,10,M-I-F-F-I-M,0.6070976066589355,0.6038422393798828,0.614072322845459,-0.5362181045265757,1.6941649322316454,1.14886240861789
