representation_id,Bc,Bf,threads,groups,identity_median_ms,lut8_median_ms,lut8_mapping_over_identity_median_percent,lut8_mapping_ci95_low,lut8_mapping_ci95_high,absolute_mapping_overhead_under_5_percent,absolute_mapping_overhead_under_8_percent
REP_0008,14,18,1,4194304,139.58015,147.7418,5.81847580893089,5.318902852109697,6.048752401571855,False,True
REP_0008,14,18,4,4194304,37.4242,39.7333,5.4214656112632875,4.621828043021847,8.764652766038171,False,True
REP_0008,14,18,8,4194304,33.0019,32.8378,1.2791285742073333,-1.5202292339704382,2.0902391787224195,True,True
REP_0025,19,13,1,4194304,140.41285,147.56525,5.236566606738635,4.9397691194094095,5.392055764898318,False,True
REP_0025,19,13,4,4194304,41.425799999999995,43.27685,2.6020976130994855,-2.519839882174335,10.341406729690927,True,True
REP_0025,19,13,8,4194304,33.075599999999994,33.50945,2.665726116189626,-2.534504278799965,4.298461213632443,True,True
REP_0026,22,10,1,4194304,139.8105,146.83085,5.068315275201485,4.657729246945763,5.279658793304121,False,True
REP_0026,22,10,4,4194304,42.12585,45.42695,6.303494066428295,3.56462616593598,16.668079378587585,False,True
REP_0026,22,10,8,4194304,32.9722,33.50515,0.6350546023446757,-1.4400822390356893,2.866809008801363,True,True
REP_0027,26,6,1,4194304,139.62505,146.37914999999998,4.684418304664573,4.563638925501756,5.226577243509611,True,True
REP_0027,26,6,4,4194304,38.60015,41.25045,5.424928801469231,1.9013920162475495,10.60497345716871,False,True
REP_0027,26,6,8,4194304,32.983000000000004,32.9904,1.250337053208983,-1.342748399523075,3.8359340882391013,True,True
